Time,Amplitude
2016-11-21T20:59:57.769538Z,211
2016-11-21T20:59:57.819538Z,423
2016-11-21T20:59:57.869538Z,660
2016-11-21T20:59:57.919538Z,864
2016-11-21T20:59:57.969538Z,978
2016-11-21T20:59:58.019538Z,1038
2016-11-21T20:59:58.069538Z,1059
2016-11-21T20:59:58.119538Z,1079
2016-11-21T20:59:58.169538Z,1080
2016-11-21T20:59:58.219538Z,990
2016-11-21T20:59:58.269538Z,892
2016-11-21T20:59:58.319538Z,815
2016-11-21T20:59:58.369538Z,746
2016-11-21T20:59:58.419538Z,687
2016-11-21T20:59:58.469538Z,687
2016-11-21T20:59:58.519538Z,748
2016-11-21T20:59:58.569538Z,785
2016-11-21T20:59:58.619538Z,818
2016-11-21T20:59:58.669538Z,830
2016-11-21T20:59:58.719538Z,868
2016-11-21T20:59:58.769538Z,860
2016-11-21T20:59:58.819538Z,771
2016-11-21T20:59:58.869538Z,727
2016-11-21T20:59:58.919538Z,658
2016-11-21T20:59:58.969538Z,559
2016-11-21T20:59:59.019538Z,484
2016-11-21T20:59:59.069538Z,424
2016-11-21T20:59:59.119538Z,357
2016-11-21T20:59:59.169538Z,330
2016-11-21T20:59:59.219538Z,365
2016-11-21T20:59:59.269538Z,383
2016-11-21T20:59:59.319538Z,346
2016-11-21T20:59:59.369538Z,263
2016-11-21T20:59:59.419538Z,225
2016-11-21T20:59:59.469538Z,215
2016-11-21T20:59:59.519538Z,177
2016-11-21T20:59:59.569538Z,151
2016-11-21T20:59:59.619538Z,103
2016-11-21T20:59:59.669538Z,82
2016-11-21T20:59:59.719538Z,120
2016-11-21T20:59:59.769538Z,160
2016-11-21T20:59:59.819538Z,153
2016-11-21T20:59:59.869538Z,101
2016-11-21T20:59:59.919538Z,95
2016-11-21T20:59:59.969538Z,37
2016-11-21T21:00:00.019538Z,-22
2016-11-21T21:00:00.069538Z,37
2016-11-21T21:00:00.119538Z,78
2016-11-21T21:00:00.169538Z,70
2016-11-21T21:00:00.219538Z,63
2016-11-21T21:00:00.269538Z,3
2016-11-21T21:00:00.319538Z,-90
2016-11-21T21:00:00.369538Z,-185
2016-11-21T21:00:00.419538Z,-333
2016-11-21T21:00:00.469538Z,-450
2016-11-21T21:00:00.519538Z,-534
2016-11-21T21:00:00.569538Z,-574
2016-11-21T21:00:00.619538Z,-541
2016-11-21T21:00:00.669538Z,-451
2016-11-21T21:00:00.719538Z,-286
2016-11-21T21:00:00.769538Z,-172
2016-11-21T21:00:00.819538Z,-99
2016-11-21T21:00:00.869538Z,-11
2016-11-21T21:00:00.919538Z,76
2016-11-21T21:00:00.969538Z,160
2016-11-21T21:00:01.019538Z,246
2016-11-21T21:00:01.069538Z,345
2016-11-21T21:00:01.119538Z,362
2016-11-21T21:00:01.169538Z,364
2016-11-21T21:00:01.219538Z,430
2016-11-21T21:00:01.269538Z,486
2016-11-21T21:00:01.319538Z,571
2016-11-21T21:00:01.369538Z,687
2016-11-21T21:00:01.419538Z,731
2016-11-21T21:00:01.469538Z,775
2016-11-21T21:00:01.519538Z,894
2016-11-21T21:00:01.569538Z,995
2016-11-21T21:00:01.619538Z,1128
2016-11-21T21:00:01.669538Z,1248
2016-11-21T21:00:01.719538Z,1324
2016-11-21T21:00:01.769538Z,1355
2016-11-21T21:00:01.819538Z,1405
2016-11-21T21:00:01.869538Z,1471
2016-11-21T21:00:01.919538Z,1481
2016-11-21T21:00:01.969538Z,1560
2016-11-21T21:00:02.019538Z,1555
2016-11-21T21:00:02.069538Z,1495
2016-11-21T21:00:02.119538Z,1401
2016-11-21T21:00:02.169538Z,1303
2016-11-21T21:00:02.219538Z,1284
2016-11-21T21:00:02.269538Z,1296
2016-11-21T21:00:02.319538Z,1434
2016-11-21T21:00:02.369538Z,1541
2016-11-21T21:00:02.419538Z,1618
2016-11-21T21:00:02.469538Z,1673
2016-11-21T21:00:02.519538Z,1660
2016-11-21T21:00:02.569538Z,1698
2016-11-21T21:00:02.619538Z,1695
2016-11-21T21:00:02.669538Z,1648
2016-11-21T21:00:02.719538Z,1632
2016-11-21T21:00:02.769538Z,1607
2016-11-21T21:00:02.819538Z,1619
2016-11-21T21:00:02.869538Z,1600
2016-11-21T21:00:02.919538Z,1536
2016-11-21T21:00:02.969538Z,1458
2016-11-21T21:00:03.019538Z,1265
2016-11-21T21:00:03.069538Z,1103
2016-11-21T21:00:03.119538Z,976
2016-11-21T21:00:03.169538Z,817
2016-11-21T21:00:03.219538Z,747
2016-11-21T21:00:03.269538Z,629
2016-11-21T21:00:03.319538Z,510
2016-11-21T21:00:03.369538Z,428
2016-11-21T21:00:03.419538Z,282
2016-11-21T21:00:03.469538Z,188
2016-11-21T21:00:03.519538Z,77
2016-11-21T21:00:03.569538Z,-17
2016-11-21T21:00:03.619538Z,-80
2016-11-21T21:00:03.669538Z,-120
2016-11-21T21:00:03.719538Z,-141
2016-11-21T21:00:03.769538Z,-259
2016-11-21T21:00:03.819538Z,-364
2016-11-21T21:00:03.869538Z,-546
2016-11-21T21:00:03.919538Z,-712
2016-11-21T21:00:03.969538Z,-796
2016-11-21T21:00:04.019538Z,-896
2016-11-21T21:00:04.069538Z,-963
2016-11-21T21:00:04.119538Z,-1087
2016-11-21T21:00:04.169538Z,-1235
2016-11-21T21:00:04.219538Z,-1455
2016-11-21T21:00:04.269538Z,-1646
2016-11-21T21:00:04.319538Z,-1751
2016-11-21T21:00:04.369538Z,-1796
2016-11-21T21:00:04.419538Z,-1710
2016-11-21T21:00:04.469538Z,-1560
2016-11-21T21:00:04.519538Z,-1436
2016-11-21T21:00:04.569538Z,-1396
2016-11-21T21:00:04.619538Z,-1315
2016-11-21T21:00:04.669538Z,-1155
2016-11-21T21:00:04.719538Z,-897
2016-11-21T21:00:04.769538Z,-641
2016-11-21T21:00:04.819538Z,-420
2016-11-21T21:00:04.869538Z,-226
2016-11-21T21:00:04.919538Z,-130
2016-11-21T21:00:04.969538Z,20
2016-11-21T21:00:05.019538Z,147
2016-11-21T21:00:05.069538Z,310
2016-11-21T21:00:05.119538Z,549
2016-11-21T21:00:05.169538Z,690
2016-11-21T21:00:05.219538Z,782
2016-11-21T21:00:05.269538Z,834
2016-11-21T21:00:05.319538Z,860
2016-11-21T21:00:05.369538Z,864
2016-11-21T21:00:05.419538Z,847
2016-11-21T21:00:05.469538Z,841
2016-11-21T21:00:05.519538Z,843
2016-11-21T21:00:05.569538Z,935
2016-11-21T21:00:05.619538Z,1090
2016-11-21T21:00:05.669538Z,1236
2016-11-21T21:00:05.719538Z,1355
2016-11-21T21:00:05.769538Z,1395
2016-11-21T21:00:05.819538Z,1416
2016-11-21T21:00:05.869538Z,1407
